0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,report_date,source_url
,,"AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","Net Investment November 01-15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025","AUC as on November 15, 2025",2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
1,Automobile and Auto Components,560155,477,220,0,0,0,0,0,0,0,0,560852,63134,54,25,0,0,0,0,0,0,0,0,63213,-593,0,0,0,0,0,0,0,0,0,0,-593,-67,0,0,0,0,0,0,0,0,0,0,-67,-385,0,0,0,0,0,0,0,0,0,0,-385,-43,0,0,0,0,0,0,0,0,0,0,-43,563335,477,220,0,0,0,0,0,0,0,0,564032,63480,54,25,0,0,0,0,0,0,0,0,63559,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
2,Capital Goods,399524,534,35,0,0,0,0,0,0,0,0,400093,45030,60,4,0,0,0,0,0,0,0,0,45094,169,0,0,0,0,0,0,0,0,0,0,169,19,0,0,0,0,0,0,0,0,0,0,19,788,-6,0,0,0,0,0,0,0,0,0,782,89,-1,0,0,0,0,0,0,0,0,0,88,423542,534,35,0,0,0,0,0,0,0,0,424111,47727,60,4,0,0,0,0,0,0,0,0,47791,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
3,Chemicals,131375,0,523,0,0,0,0,0,0,0,0,131898,14807,0,59,0,0,0,0,0,0,0,0,14866,-608,0,0,0,0,0,0,0,0,0,0,-608,-69,0,0,0,0,0,0,0,0,0,0,-69,-518,0,0,0,0,0,0,0,0,0,0,-518,-58,0,0,0,0,0,0,0,0,0,0,-58,130903,0,523,0,0,0,0,0,0,0,0,131426,14751,0,59,0,0,0,0,0,0,0,0,14810,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
4,Construction,137361,92,150,0,108,0,0,0,0,0,0,137711,15482,10,17,0,12,0,0,0,0,0,0,15521,1592,-1,0,0,-2,0,0,0,0,0,0,1589,179,0,0,0,0,0,0,0,0,0,0,179,-330,-1,0,0,0,0,0,0,0,0,0,-331,-37,0,0,0,0,0,0,0,0,0,0,-37,134982,92,150,0,111,0,0,0,0,0,0,135335,15211,10,17,0,13,0,0,0,0,0,0,15251,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
5,Construction Materials,121354,1268,0,0,0,0,0,0,0,0,0,122622,13678,143,0,0,0,0,0,0,0,0,0,13821,-1198,18,0,0,0,0,0,0,0,0,0,-1180,-135,2,0,0,0,0,0,0,0,0,0,-133,-369,0,0,0,0,0,0,0,0,0,0,-369,-42,0,0,0,0,0,0,0,0,0,0,-42,117455,1250,0,0,0,0,0,0,0,0,0,118705,13236,141,0,0,0,0,0,0,0,0,0,13377,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
6,Consumer Durables,187097,0,0,0,0,0,0,0,0,0,0,187097,21088,0,0,0,0,0,0,0,0,0,0,21088,-1543,0,0,0,0,0,0,0,0,0,0,-1543,-174,0,0,0,0,0,0,0,0,0,0,-174,-1379,0,0,0,0,0,0,0,0,0,0,-1379,-155,0,0,0,0,0,0,0,0,0,0,-155,188991,0,0,0,0,0,0,0,0,0,0,188991,21297,0,0,0,0,0,0,0,0,0,0,21297,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
